Month,w
6/3/2019,6
6/4/2019,5
6/5/2019,4
6/6/2019,6
6/7/2019,7
6/10/2019,6
6/11/2019,5
6/12/2019,4
6/13/2019,6
6/14/2019,4
6/17/2019,5
6/18/2019,3
6/19/2019,5
6/20/2019,6
6/21/2019,4
6/24/2019,6
6/25/2019,4
6/26/2019,5
6/27/2019,6
6/28/2019,4
7/1/2019,5
7/2/2019,6
7/3/2019,6
7/4/2019,4
7/5/2019,5
7/8/2019,6
7/9/2019,7
7/10/2019,6
7/11/2019,5
7/12/2019,4
7/15/2019,3
7/16/2019,4
7/17/2019,2
7/18/2019,4
7/19/2019,6
7/22/2019,5
7/23/2019,7
7/24/2019,6
7/25/2019,5
7/26/2019,4
7/29/2019,4
7/30/2019,3
7/31/2019,2
8/1/2019,4
8/2/2019,5
8/5/2019,6
8/6/2019,4
8/7/2019,3
8/8/2019,3
8/9/2019,2
8/12/2019,4
8/13/2019,6
8/14/2019,4
8/15/2019,6
8/16/2019,7
8/19/2019,8
8/20/2019,6
8/21/2019,5
8/22/2019,4
8/23/2019,7
8/26/2019,5
8/27/2019,4
8/28/2019,6
8/29/2019,7
8/30/2019,5
9/2/2019,4
9/3/2019,3
9/4/2019,5
9/5/2019,6
9/6/2019,7
9/9/2019,8
9/10/2019,7
9/11/2019,6
9/12/2019,4
9/13/2019,4
9/16/2019,3
9/17/2019,5
9/18/2019,6
9/19/2019,7
9/20/2019,8
9/23/2019,6
9/24/2019,4
9/25/2019,5
9/26/2019,6
9/27/2019,7
9/30/2019,5
10/1/2019,6
10/2/2019,5
10/3/2019,5
10/4/2019,3
10/7/2019,7
10/8/2019,7
10/9/2019,5
10/10/2019,5
10/11/2019,3
10/14/2019,4
10/15/2019,2
10/16/2019,4
10/17/2019,5
10/18/2019,6
10/21/2019,7
10/22/2019,8
10/23/2019,6
10/24/2019,6
10/25/2019,9